,points,province,variety,price
0,4,Washington,Riesling,17.0
1,2,California,Bordeaux-style Red Blend,20.0
2,3,California,Cabernet Sauvignon,18.0
3,3,Wachau,Riesling,20.0
4,4,California,Cabernet Sauvignon,80.0
5,3,California,Grenache Blanc,25.0
6,3,Washington,Sparkling Blend,12.0
7,3,California,Syrah,50.0
8,3,Oregon,Pinot Noir,24.0
10,2,California,Merlot,11.0
11,1,Northern Spain,Garnacha,9.0
12,3,South Australia,Shiraz,38.0
13,4,California,Chardonnay,52.0
14,3,Tuscany,Red Blend,35.0
15,2,California,Riesling,28.0
16,4,California,Pinot Noir,39.0
17,3,California,Pinot Noir,58.0
18,3,Mosel-Saar-Ruwer,Riesling,46.0
19,4,California,Cabernet Sauvignon,150.0
21,2,California,Zinfandel,21.0
22,3,California,Merlot,54.0
23,4,Drama,Syrah,45.0
24,1,Northern Spain,Tempranillo Blend,10.0
26,5,California,Cabernet Sauvignon,135.0
28,4,Washington,Chardonnay,40.0
29,3,Galilee,Shiraz,32.0
30,2,California,Cabernet Sauvignon,15.0
31,3,Washington,Chardonnay,50.0
32,2,Maipo Valley,Cabernet Sauvignon,8.0
33,3,Champagne,Champagne Blend,60.0
34,3,California,Pinot Noir,25.0
37,1,California,Shiraz,12.0
39,3,Rheingau,Riesling,16.0
40,1,Catalonia,Red Blend,40.0
41,3,Central Spain,Red Blend,31.0
42,4,California,Bordeaux-style Red Blend,30.0
43,2,Northeastern Italy,Pinot Grigio,40.0
44,4,Tuscany,Sangiovese Grosso,70.0
45,2,Washington,Red Blend,28.0
46,2,Alsace,Pinot Noir,20.0
47,2,California,Muscat Canelli,9.0
48,2,Spain Other,Cabernet Sauvignon,8.0
49,2,Northeastern Italy,Pinot Grigio,14.0
50,2,Oregon,Pinot Gris,16.0
52,2,Loire Valley,Sauvignon Blanc,28.0
53,3,Northern Spain,Tempranillo,22.0
54,5,Tuscany,Sangiovese Grosso,79.0
55,2,California,Chardonnay,13.0
56,2,Mendoza Province,Malbec,17.0
57,3,California,Viognier,25.0
58,3,Stellenbosch,Shiraz,37.0
59,3,South Australia,Shiraz,40.0
60,2,California,Merlot,14.0
61,3,Southwest France,Chardonnay,16.0
62,3,Durbanville,Sauvignon Blanc,33.0
63,4,California,Cabernet Sauvignon,60.0
64,2,New York,White Blend,25.0
65,4,Veneto,Red Blend,65.0
66,3,California,Chardonnay,18.0
67,3,South Australia,Pinot Noir,20.0
68,3,Maipo Valley,Cabernet Sauvignon,60.0
69,3,France Other,White Blend,32.0
70,3,Colchagua Valley,Carmenère,35.0
71,2,Piedmont,Brachetto,16.0
73,3,Austria,Red Blend,33.0
74,3,Central Otago,Pinot Noir,45.0
75,3,Burgundy,Pinot Noir,114.0
76,3,Aconcagua Valley,Carmenère,235.0
77,2,California,Riesling,13.0
78,2,New York,Chardonnay,15.0
79,3,Southwest France,Bordeaux-style Red Blend,15.0
80,1,New York,Pinot Gris,17.0
81,2,California,Chardonnay,22.0
82,2,California,Pinot Noir,55.0
83,4,Rheingau,Riesling,77.0
84,3,California,Chardonnay,39.0
85,2,Veneto,White Blend,12.0
86,2,California,Red Blend,42.0
87,2,California,Sauvignon Blanc,22.0
88,2,Central Italy,White Blend,11.0
89,2,Piedmont,Dolcetto,18.0
90,2,Victoria,Cabernet Sauvignon,60.0
91,3,Lombardy,Sparkling Blend,36.0
92,2,Veneto,Glera,20.0
94,2,California,Cabernet Sauvignon,48.0
95,3,Washington,Chardonnay,12.0
96,2,California,Petite Sirah,28.0
97,3,San Antonio,Syrah,28.0
98,4,Sicily & Sardinia,Red Blend,52.0
99,1,California,Red Blend,25.0
100,2,California,Zinfandel,12.0
101,4,Washington,Cabernet Sauvignon,25.0
102,4,Oregon,Pinot Noir,34.0
103,2,Marlborough,Sauvignon Blanc,16.0
104,2,Tuscany,Sangiovese Grosso,60.0
105,2,Washington,Rosé,12.0
107,2,Central Italy,White Blend,13.0
108,3,Burgundy,Chardonnay,65.0
109,4,Washington,Cabernet Franc,35.0
110,2,Mosel,Elbling,16.0
111,4,California,Cabernet Franc,125.0
112,3,Bordeaux,Bordeaux-style Red Blend,17.0
