,points,province,variety,price
2,3,California,Cabernet Sauvignon,18
4,4,California,Cabernet Sauvignon,80
8,3,Oregon,Pinot Noir,24
13,4,California,Chardonnay,52
14,3,Tuscany,Red Blend,35
16,4,California,Pinot Noir,39
17,3,California,Pinot Noir,58
19,4,California,Cabernet Sauvignon,150
26,5,California,Cabernet Sauvignon,135
28,4,Washington,Chardonnay,40
30,2,California,Cabernet Sauvignon,15
31,3,Washington,Chardonnay,50
32,2,Maipo Valley,Cabernet Sauvignon,8
34,3,California,Pinot Noir,25
40,1,Catalonia,Red Blend,40
41,3,Central Spain,Red Blend,31
45,2,Washington,Red Blend,28
46,2,Alsace,Pinot Noir,20
48,2,Spain Other,Cabernet Sauvignon,8
52,2,Loire Valley,Sauvignon Blanc,28
55,2,California,Chardonnay,13
61,3,Southwest France,Chardonnay,16
62,3,Durbanville,Sauvignon Blanc,33
63,4,California,Cabernet Sauvignon,60
65,4,Veneto,Red Blend,65
66,3,California,Chardonnay,18
67,3,South Australia,Pinot Noir,20
68,3,Maipo Valley,Cabernet Sauvignon,60
73,3,Austria,Red Blend,33
74,3,Central Otago,Pinot Noir,45
75,3,Burgundy,Pinot Noir,114
78,2,New York,Chardonnay,15
81,2,California,Chardonnay,22
82,2,California,Pinot Noir,55
84,3,California,Chardonnay,39
86,2,California,Red Blend,42
87,2,California,Sauvignon Blanc,22
90,2,Victoria,Cabernet Sauvignon,60
94,2,California,Cabernet Sauvignon,48
95,3,Washington,Chardonnay,12
98,4,Sicily & Sardinia,Red Blend,52
99,1,California,Red Blend,25
101,4,Washington,Cabernet Sauvignon,25
102,4,Oregon,Pinot Noir,34
103,2,Marlborough,Sauvignon Blanc,16
108,3,Burgundy,Chardonnay,65
114,2,California,Red Blend,32
115,1,Maipo Valley,Sauvignon Blanc,12
122,3,California,Cabernet Sauvignon,29
124,2,Limarí Valley,Sauvignon Blanc,9
128,3,Southern Italy,Red Blend,90
129,2,Burgundy,Pinot Noir,47
131,3,Washington,Cabernet Sauvignon,55
133,4,California,Cabernet Sauvignon,125
135,4,Tuscany,Red Blend,56
138,3,California,Cabernet Sauvignon,40
140,3,Southwest France,Red Blend,23
142,3,California,Cabernet Sauvignon,35
144,4,Oregon,Pinot Noir,58
146,3,Washington,Chardonnay,14
148,3,California,Chardonnay,24
152,1,New Mexico,Red Blend,22
153,3,Tuscany,Red Blend,30
155,2,Levante,Red Blend,20
157,2,California,Chardonnay,15
168,3,Levante,Red Blend,19
172,3,Washington,Chardonnay,23
175,4,Loire Valley,Sauvignon Blanc,110
177,2,Oregon,Chardonnay,24
182,3,Marlborough,Sauvignon Blanc,17
192,4,Oregon,Pinot Noir,45
193,2,Hawke's Bay,Pinot Noir,22
194,4,Burgundy,Pinot Noir,69
196,2,Washington,Cabernet Sauvignon,18
202,2,Stellenbosch,Sauvignon Blanc,18
212,3,South Australia,Cabernet Sauvignon,20
213,2,Martinborough,Sauvignon Blanc,19
220,2,Tuscany,Red Blend,17
222,3,Oregon,Pinot Noir,50
223,2,Martinborough,Pinot Noir,25
224,3,Burgundy,Pinot Noir,40
231,4,California,Chardonnay,38
232,2,California,Pinot Noir,38
234,4,California,Cabernet Sauvignon,55
236,4,California,Cabernet Sauvignon,85
237,1,California,Pinot Noir,20
239,2,Veneto,Red Blend,60
243,1,Washington,Cabernet Sauvignon,35
244,4,California,Cabernet Sauvignon,60
245,3,California,Pinot Noir,33
249,1,California,Sauvignon Blanc,24
253,3,California,Cabernet Sauvignon,50
256,3,Burgundy,Pinot Noir,37
258,2,Languedoc-Roussillon,Chardonnay,6
265,4,California,Chardonnay,65
268,4,California,Chardonnay,28
271,4,California,Pinot Noir,40
273,3,Washington,Red Blend,20
275,2,California,Chardonnay,43
276,2,Mendoza Province,Chardonnay,10
278,2,California,Pinot Noir,42
280,1,California,Red Blend,13
283,2,Maule Valley,Cabernet Sauvignon,16
290,2,California,Cabernet Sauvignon,18
292,4,Tuscany,Red Blend,50
298,3,California,Pinot Noir,48
301,2,Washington,Chardonnay,17
304,3,Washington,Cabernet Sauvignon,50
305,3,California,Cabernet Sauvignon,44
310,3,Washington,Cabernet Sauvignon,45
312,2,Negev Hills,Sauvignon Blanc,24
313,2,California,Cabernet Sauvignon,20
316,2,Estremadura,Chardonnay,13
317,3,California,Pinot Noir,52
319,3,Washington,Red Blend,24
321,3,Champagne,Chardonnay,110
324,3,Burgundy,Pinot Noir,32
326,4,Martinborough,Pinot Noir,61
327,3,Southwest France,Red Blend,11
334,4,Burgundy,Pinot Noir,60
336,3,California,Chardonnay,25
337,3,California,Pinot Noir,35
340,3,Western Cape,Red Blend,30
346,1,Mendoza Province,Cabernet Sauvignon,18
347,4,California,Pinot Noir,56
352,3,Washington,Red Blend,33
353,4,California,Cabernet Sauvignon,40
354,2,Washington,Chardonnay,9
356,4,California,Chardonnay,32
357,4,California,Pinot Noir,75
358,3,Marlborough,Pinot Noir,29
359,3,California,Cabernet Sauvignon,48
360,2,Washington,Cabernet Sauvignon,15
369,3,Loire Valley,Sauvignon Blanc,35
373,3,Champagne,Chardonnay,60
378,4,California,Sauvignon Blanc,29
379,3,Leyda Valley,Sauvignon Blanc,23
381,3,Washington,Red Blend,45
384,2,Western Cape,Red Blend,10
389,1,California,Chardonnay,14
391,2,New York,Chardonnay,14
396,3,Victoria,Chardonnay,24
406,3,Virginia,Sauvignon Blanc,19
407,2,Maule Valley,Cabernet Sauvignon,10
409,3,Washington,Red Blend,33
410,1,Mendoza Province,Chardonnay,11
412,4,California,Cabernet Sauvignon,80
414,2,California,Chardonnay,12
416,3,Oregon,Pinot Noir,48
417,2,Curicó Valley,Chardonnay,19
418,3,South Australia,Cabernet Sauvignon,60
424,2,Shomron,Sauvignon Blanc,13
425,3,California,Pinot Noir,48
428,3,Burgundy,Chardonnay,53
433,2,Central Valley,Sauvignon Blanc,8
436,2,Maipo Valley,Cabernet Sauvignon,18
438,2,New York,Red Blend,21
445,2,Colchagua Valley,Chardonnay,10
446,3,Burgundy,Pinot Noir,46
449,3,Oregon,Pinot Noir,43
451,2,Victoria,Cabernet Sauvignon,60
453,3,Western Australia,Chardonnay,27
459,2,Levante,Red Blend,13
460,4,California,Chardonnay,22
461,2,Oregon,Pinot Noir,20
463,3,Tuscany,Red Blend,49
464,4,California,Pinot Noir,45
466,2,California,Cabernet Sauvignon,27
468,2,California,Cabernet Sauvignon,8
477,3,South Australia,Cabernet Sauvignon,20
478,4,Tuscany,Red Blend,150
482,2,Mendoza Province,Cabernet Sauvignon,14
484,3,Lombardy,Chardonnay,33
487,4,California,Cabernet Sauvignon,75
491,2,Tuscany,Red Blend,45
494,4,Sicily & Sardinia,Cabernet Sauvignon,60
498,2,Colchagua Valley,Red Blend,16
501,3,Washington,Chardonnay,25
502,3,Tuscany,Red Blend,25
506,2,California,Pinot Noir,48
508,3,Maipo Valley,Cabernet Sauvignon,20
512,4,California,Cabernet Sauvignon,42
515,3,South Australia,Cabernet Sauvignon,20
516,1,Marlborough,Pinot Noir,33
517,2,Maipo Valley,Pinot Noir,12
519,2,California,Pinot Noir,18
520,1,California,Cabernet Sauvignon,12
524,3,Marlborough,Sauvignon Blanc,24
526,3,South Australia,Chardonnay,15
530,4,Burgundy,Chardonnay,55
538,2,California,Cabernet Sauvignon,100
542,3,Oregon,Pinot Noir,50
548,3,Champagne,Chardonnay,72
552,3,California,Cabernet Sauvignon,55
553,4,California,Chardonnay,28
555,2,Washington,Cabernet Sauvignon,8
556,4,California,Cabernet Sauvignon,42
558,3,California,Pinot Noir,45
559,3,California,Cabernet Sauvignon,38
561,3,California,Sauvignon Blanc,15
565,2,Washington,Chardonnay,14
