"Made from grapes that were sourced from two parcels, this Pommard is firmly structured, and it shows fine red-fruit flavers that sit under the dark, dense tannins. It has a ripe yet minerally texture.",88,Domaine Champy 2010  Pommard,,,,
"Aromas of pithy citrus and pineapple are decent but unrefined, while flavors of tangerine and pineapple are tropical, zesty and what they are. This is nothing more than a fresh, simple, citrusy white to sip on the patio. Anything beyond that would be stretching it.",84,Bodega Norton 2009 Sauvignon Blanc (Mendoza),,,,
"A lovely young Cab, rich and balanced, and with the elegance you expect from this producer. Made from all 5 Bordeaux varieties, with a drop of Syrah, the wine is potent in red and black currant, blackberry and new oak flavors, with sweetly ripe tannins. Delicious now, it should develop through 2015.",91,Robert Mondavi 2005 Cabernet Sauvignon (Napa Valley),,,,
"A beautiful 100% Viognier, showing the variety's exotic tropical fruit, wildflower and pear flavors wrapped into a texture of firm tannins and adequate acidity. Finishes with tiers of honey, apricot jam, tangerine-infused crême brûlée. Very nice, if high in alcohol.",92,Chalk Hill 2009 Estate Bottled Viognier (Chalk Hill),,,,
"Spicy wood-aging flavors dominate this wine. It is rich, almost too rich and pushy for its own good, seeming to be more opulent than previous vintages. Nutmeg dominates more than the pineapple and apricot fruit flavors. It could settle down, although it will always be larger than life.",89,Quinta Nova de Nossa Senhora do Carmo 2013 Mirabilis Grand Reserva White (Douro),,,,
"There is a strong steeliness to this wine although it doesn't lose out on fruitiness either. Crisp apples are tempered with pineapple to give a ripe feel, while the end is fresh and mineral.",85,Henry Fessy 2012  Beaujolais Blanc,,,,
"Produced from Syrah, this is still a cool wine, with crisp fruitiness to the front. Lively acidity and fresh red fruits are balanced by a warmer layer of caramel. Drink now.",84,Domaine d'Arton 2013 Rosé (Côtes de Gascogne),,,,
"Kevin Riley packs eight varieties into this pink wine, but the major proportion of Syrah and Grenache lend it its deep hue and rose petal, red cherry and vanilla notes on the nose. Grippy red plum skin flavors dominate the compellingly tense palate, followed by Rainier cherry and orange rind touches.",89,Proulx 2016 Resistance Willow Creek Farm Rosé (Paso Robles),,,,
"This is a lightly wood-aged wine, with crisp acidity and just a hint of toast. The fruit is upfront, showing a crisp, tight lemon character that's tangy and refreshing. Drink now.",88,La Chablisienne 2014 La Pierrelée  (Chablis),,,,
"Such breezy freshness, such citric concentration on a slender, very streamlined body. Bright, lemony flavors fizz everywhere and create a feeling of lightness, but with a firm backbone. A clean, taut finish.",90,Allram 2014 Gaisberg Reserve Riesling (Kamptal),,,,
"Practically a liquid fruit salad, this smells and tastes like orange, apple, cantaloupe and banana. The texture is smooth and rounded, rather than crisp. A little buttery flavor comes through on the finish.",85,Barrel Racer 2013 Sauvignon Blanc (Solano County),,,,
"This full-bodied white leads with typical varietal aromas that recall white roses, lychee and spice. The round, low-acid palate delivers creamy exotic fruit layered with notes of clove and nutmeg. A soft, lingering finish closes on a sweet note punctuated with the warmth of evident alcohol.",89,Elena Walch 2012 Kastelaz Gewürztraminer (Alto Adige),,,,
"Yeasty aromas are low on fruit and specifics. This Viura-Chardonnay blend is lazy in feel, with modest acidic cut. Sweet bland flavors quickly fall off and taste of powdered sugar on the finish.",84,Bodegas Aragonesas NV Viura-Chardonnay (Campo de Borja),,,,
